Circuit,Initial time,Schedule time,Transfer time,Simulation time,Tableau partitions,Tableau memory,Tableau step speed,Circuit memory,Average of parallel gates,Clifford gates
q90000_d100,164.95,105.81,0,1180.42,1,1931.2,163602.73,81.54,61880.85,6188085
q91000_d100,164.65,107.93,0,1216.51,1,1974.36,162296.3,82.44,62562.67,6256267
q92000_d100,167.14,108.53,0,1228.72,1,2017.99,164234.54,83.36,63256.43,6325643
q93000_d100,168.14,109.8,0,1278.18,1,2062.09,161330.46,84.26,63944.01,6394401
q94000_d100,171.25,110.7,0,1298.17,1,2106.68,162280.29,85.17,64633.95,6463395
q95000_d100,171.82,111.58,0,1327.64,1,2151.74,162072.48,86.07,65315.7,6531570
q96000_d100,171.78,112.96,0,1244.32,1,2197.28,176584.93,86.98,66006.3,6600630
q97000_d100,181.39,114.17,0,1381.62,1,2243.29,162367.17,87.89,66695.02,6669502
q98000_d100,177.82,115.59,0,1400.34,1,2289.78,163515.77,88.78,67371.18,6737118
q99000_d100,180.57,116.44,0,1438.35,1,2336.75,162460.67,89.69,68057.19,6805719
q100000_d100,182.09,116.03,0,1464.56,1,2384.2,162792.95,90.59,68743.33,6874333
q101000_d100,184.23,119.85,0,1514.59,1,2432.12,160579.14,91.52,69451.5,6945150
q102000_d100,185.22,118.99,0,1523.87,1,2480.52,162777.77,92.41,70128.94,7012894
q103000_d100,188.65,121.43,0,1555.54,1,2529.39,162605.42,93.32,70815.84,7081584
q104000_d100,189.13,121.51,0,1587.95,1,2578.75,162394.72,94.22,71502.26,7150226
q105000_d100,193.41,122.63,0,1614.94,1,2628.58,162766.2,95.13,72191.04,7219104
q106000_d100,195.89,123.19,0,1638.79,1,2678.88,163466.88,96.05,72887.91,7288791
q107000_d100,197.4,125.6,0,1710.97,1,2729.67,159539.42,96.94,73567.47,7356747
q108000_d100,200.37,125.99,0,1730.35,1,2780.93,160714.64,97.85,74259.36,7425936
q109000_d100,201.69,127.69,0,1776.18,1,2832.66,159480.51,98.76,74940.84,7494084
q110000_d100,206,128.7,0,1791.41,1,2884.88,161039.98,99.65,75617.19,7561719
q111000_d100,210.03,131.53,0,1836.85,1,2937.57,159924.54,100.57,76324.75,7632475
q112000_d100,208.61,130.74,0,1879.31,1,2990.74,159140.13,101.46,76985.28,7698528
q113000_d100,212.47,132.16,0,1898.35,1,3044.38,160369.96,102.38,77694.38,7769438
q114000_d100,214.38,133.87,0,1909.11,1,3098.5,162300.75,103.28,78370.59,7837059
q115000_d100,216.15,134.24,0,1956.6,1,3153.1,161152.24,104.2,79075.55,7907555
q116000_d100,216.4,133.32,0,2001.65,1,3208.17,160276.88,105.1,79752.01,7975201
q117000_d100,217.6,133.24,0,2048.52,1,3263.73,159320.97,106.01,80451.76,8045176
q118000_d100,223.29,137.22,0,2063.96,1,3319.75,160844.17,106.91,81125.03,8112503
q119000_d100,224.04,137.22,0,2108.72,1,3376.26,160109.52,107.81,81815.78,8181578
q120000_d100,227.43,138.8,0,2136.1,1,3433.24,160725.1,108.73,82518,8251800
q121000_d100,225.03,137.7,0,2158.11,1,3490.7,161748.13,109.61,83170.95,8317095
q122000_d100,230.98,139.62,0,2181.51,1,3548.64,162668.48,110.54,83882.3,8388230
q123000_d100,235.78,143.53,0,2255.98,1,3607.05,159888.22,111.44,84568.87,8456887
q124000_d100,235.4,141.95,0,2268.72,1,3665.94,161586.3,112.34,85251.54,8525154
q125000_d100,237.77,142.7,0,2328.87,1,3725.3,159962.27,113.25,85942.84,8594284
q126000_d100,241.68,146.34,0,2344.6,1,3785.15,161440.99,114.16,86624.73,8662473
q127000_d100,240.94,145.23,0,2397.02,1,3845.47,160426.99,115.06,87311.3,8731130
q128000_d100,239.35,143.01,0,2163.32,1,3906.26,180568.3,115.96,87993.66,8799366
q129000_d100,244.73,146.84,0,2456.03,1,3967.54,161542.83,116.87,88678.49,8867849
q130000_d100,245.66,148.02,0,2470.87,1,4029.29,163071.76,117.78,89376.24,8937624
q131000_d100,251.88,149.34,0,2547.47,1,4091.52,160610.73,118.69,90070.05,9007005
q132000_d100,251.84,148.55,0,2568.1,1,4154.22,161762.22,119.58,90737.71,9073771
q133000_d100,254.54,149.69,0,2641.3,1,4217.4,159671.3,120.5,91434.89,9143489
q134000_d100,259.29,150.79,0,2647.51,1,4281.06,161701.59,121.4,92117.23,9211723
q135000_d100,261,151.7,0,2694.81,1,4345.19,161242.83,122.31,92814.68,9281468
q136000_d100,266.87,154.59,0,2720.98,1,4409.81,162066.7,123.21,93490.36,9349036
q137000_d100,263.38,154.23,0,2759.94,1,4474.9,162137.5,124.12,94192.73,9419273
q138000_d100,269.52,154.92,0,2783.56,1,4540.46,163117.09,125.03,94880.72,9488072
q139000_d100,273.75,155.94,0,2881.73,1,4606.5,159851.74,125.93,95561.5,9556150
q140000_d100,272.19,157.43,0,2883.75,1,4673.02,162046.53,126.84,96250.71,9625071
q141000_d100,273.89,158.29,0,2954.28,1,4740.02,160445.59,127.75,96949.96,9694996
q142000_d100,279.16,159.36,0,2966.28,1,4807.49,162071.17,128.66,97633.97,9763397
q143000_d100,283.16,161.87,0,3028.74,1,4875.44,160972.55,129.56,98318.45,9831845
q144000_d100,286.29,162.9,0,3072.29,1,4943.86,160918.1,130.45,98982.72,9898272
q145000_d100,285.47,162.89,0,3101.25,1,5012.77,161637.17,131.38,99695.56,9969556
q146000_d100,284.19,163.57,0,3143,1,5082.15,161697.37,132.28,100383.33,10038333
q147000_d100,290.78,165.5,0,3212.3,1,5152.01,160383.62,133.19,101069.67,10106967
q148000_d100,290.82,165.76,0,3213.15,1,5222.34,162530.2,134.09,101750.61,10175061
q149000_d100,293.48,167.33,0,3297.16,1,5293.15,160536.65,134.99,102434.98,10243498
q150000_d100,294.26,167.31,0,3308.07,1,5364.44,162162.1,135.89,103116.94,10311694
q151000_d100,297.06,169.92,0,3358.55,1,5436.2,161861.4,136.81,103812.71,10381271
q152000_d100,303.62,171.16,0,3387.13,1,5508.44,162628.7,137.71,104495.75,10449575
q153000_d100,310.99,175.13,0,3456.22,1,5581.16,161481.79,138.62,105192.58,10519258
q154000_d100,302.14,171.66,0,3505.18,1,5654.35,161314.05,139.52,105871.05,10587105
q155000_d100,311.39,175.14,0,3565.65,1,5728.02,160644.77,140.43,106568.85,10656885
q156000_d100,313.47,175,0,3561.55,1,5802.17,162911.46,141.33,107238.81,10723881
q157000_d100,313.55,176.18,0,3650.46,1,5876.8,160988.04,142.23,107924.94,10792494
q158000_d100,317.23,177.9,0,3663.92,1,5951.9,162446.12,143.14,108619.37,10861937
q159000_d100,318.13,178.91,0,3735.14,1,6027.48,161372.19,144.06,109321.46,10932146
q160000_d100,318.61,178.24,0,3485.24,1,6103.53,175125.01,144.96,109999.01,10999901
q161000_d100,323.7,181.73,0,3927.22,1,6180.07,157364.77,145.87,110692.35,11069235
q162000_d100,322.82,184.53,0,3955.73,1,6257.08,158177.76,146.76,111361.45,11136145
q163000_d100,327.77,183.35,0,4049.89,1,6334.56,156413.27,147.67,112050.23,11205023
q164000_d100,330.61,183.03,0,4030.21,1,6412.53,159111.41,148.57,112735.04,11273504
q165000_d100,332.38,185.3,0,4141.29,1,6490.97,156737.78,149.49,113440.06,11344006
q166000_d100,336.97,187.29,0,4114.52,1,6569.88,159675.51,150.39,114115.26,11411526
q167000_d100,339.95,188.33,0,4149.22,1,6649.28,160253.68,151.31,114824.09,11482409
q168000_d100,338.87,188.54,0,4180.95,1,6729.15,160947.69,152.2,115486.06,11548606
q169000_d100,340.97,188.72,0,4284.48,1,6809.49,158933.96,153.12,116198.94,11619894
q170000_d100,348.43,192.87,0,4346.93,1,6890.32,158509.93,154.02,116879.3,11687930
q171000_d100,356.54,197.1,0,4418.36,1,6971.62,157787.62,154.93,117568.74,11756874
q172000_d100,347.54,192.47,0,4403.14,1,7053.4,160190.2,155.83,118248.69,11824869
q173000_d100,350.98,193.46,0,4523.89,1,7135.65,157732.51,156.72,118918.31,11891831
q174000_d100,355.9,194.76,0,4513.85,1,7218.38,159916.22,157.64,119622.23,11962223
q175000_d100,355.97,195.49,0,4564.39,1,7301.59,159968.6,158.54,120308.39,12030839
q176000_d100,359.16,196.76,0,4607.03,1,7385.27,160304.62,159.45,120994.95,12099495
q177000_d100,367.1,201.4,0,4700.74,1,7469.44,158899.13,160.36,121683.52,12168352
q178000_d100,361.3,199.33,0,4738.58,1,7554.07,159416.52,161.27,122385.15,12238515
q179000_d100,361.9,201.78,0,4833.01,1,7639.19,158062.74,162.18,123066.11,12306611
q180000_d100,362.35,200.22,0,4808.83,1,7724.78,160637.48,163.08,123754.38,12375438
q181000_d100,369.41,202.65,0,4931.37,1,7810.85,158391.11,163.99,124446.77,12444677
q182000_d100,364.76,202.04,0,4902.35,1,7897.4,161094.04,164.89,125123.44,12512344
q183000_d100,365.53,203.04,0,4991.14,1,7984.42,159972.01,165.8,125817.03,12581703
q184000_d100,375.99,205.53,0,5023.81,1,8071.92,160673.44,166.69,126482.72,12648272
q185000_d100,372.2,205.69,0,5132.09,1,8159.9,158997.57,167.6,127175.95,12717595
q186000_d100,386.91,211.62,0,5157.54,1,8248.35,159927.94,168.52,127878.88,12787888
q187000_d100,374.48,208.74,0,5264.95,1,8337.28,158354.58,169.42,128559.48,12855948
q188000_d100,378.65,208.77,0,5237.56,1,8426.69,160889.58,170.33,129249.95,12924995
q189000_d100,387.88,212.97,0,5342.94,1,8516.57,159398.71,171.24,129943.35,12994335
q190000_d100,386.3,212.32,0,5353.21,1,8606.93,160780.88,172.13,130621.4,13062140
q191000_d100,391.8,213.58,0,5456.04,1,8697.77,159415.43,173.04,131306.07,13130607
q192000_d100,387.12,212.89,0,5048.24,1,8789.08,174102.04,173.95,132000.97,13200097
q193000_d100,393.29,215.68,0,5585.87,1,8880.88,158988.23,174.86,132688.3,13268830
q194000_d100,388.06,215.18,0,5599.96,1,8973.15,160235.76,175.77,133389.92,13338992
q195000_d100,392.74,216.42,0,5715.85,1,9065.89,158609.66,176.66,134053.86,13405386
