Circuit,Initial time,Schedule time,Transfer time,Simulation time,Power consumption,Energy consumption,Tableau partitions,Tableau memory,Tableau step speed,Circuit memory,Average of parallel gates,Clifford gates
Circuit,Initial time,Schedule time,Transfer time,Simulation time,Power consumption,Energy consumption,Tableau partitions,Tableau memory,Tableau step speed,Circuit memory,Average of parallel gates,Clifford gates
Circuit,Initial time,Schedule time,Transfer time,Simulation time,Power consumption,Energy consumption,Tableau partitions,Tableau memory,Tableau step speed,Circuit memory,Average of parallel gates,Clifford gates
q100000,0.02,202.88,0.00,6.53,43.46,0.28,1.00,2.33,356.57,0.93,0.00,71211.00
q101000,0.02,205.58,0.00,6.68,58.07,0.39,1.00,2.38,355.98,0.93,0.00,71943.00
q102000,0.02,216.23,0.00,6.79,58.02,0.39,1.00,2.42,356.98,0.94,0.00,72661.00
q103000,0.02,213.20,0.00,6.94,57.81,0.40,1.00,2.47,355.97,0.95,0.00,73387.00
q104000,0.03,218.03,0.00,7.10,57.80,0.41,1.00,2.52,354.47,0.96,0.00,74098.00
q105000,0.03,223.54,0.00,7.24,58.10,0.42,1.00,2.57,354.59,0.97,0.00,74797.00
q106000,0.03,228.64,0.00,7.37,57.61,0.42,1.00,2.62,355.12,0.98,0.00,75489.00
q107000,0.02,229.60,0.00,7.39,57.62,0.43,1.00,2.67,360.83,0.99,0.00,76226.00
q108000,0.03,231.59,0.00,7.52,57.68,0.43,1.00,2.72,361.21,1.00,0.00,76949.00
q109000,0.02,238.88,0.00,7.61,57.75,0.44,1.00,2.77,364.07,1.01,0.00,77683.00
q110000,0.06,245.41,0.00,7.89,57.90,0.46,1.00,2.82,357.10,1.02,0.00,78420.00
q111000,0.02,249.45,0.00,8.03,58.02,0.47,1.00,2.87,357.56,1.03,0.00,79120.00
q112000,0.03,253.95,0.00,8.17,58.23,0.48,1.00,2.92,357.68,1.04,0.00,79844.00
q113000,0.03,259.37,0.00,8.32,57.84,0.48,1.00,2.97,357.27,1.05,0.00,80574.00
q114000,0.03,264.18,0.00,8.45,57.76,0.49,1.00,3.03,358.30,1.05,0.00,81296.00
q115000,0.02,266.37,0.00,8.60,57.64,0.50,1.00,3.08,358.08,1.06,0.00,81973.00
q116000,0.03,271.89,0.00,8.43,57.30,0.48,1.00,3.13,372.07,1.07,0.00,82674.00
q117000,0.02,276.77,0.00,8.53,56.33,0.48,1.00,3.19,373.96,1.08,0.00,83390.00
q118000,0.03,282.13,0.00,8.57,57.54,0.49,1.00,3.24,378.42,1.09,0.00,84105.00
q119000,0.06,285.49,0.00,8.70,57.45,0.50,1.00,3.30,379.08,1.10,0.00,84802.00
q120000,0.03,294.93,0.00,8.94,57.52,0.51,1.00,3.35,375.18,1.11,0.00,85513.00
q121000,0.03,298.15,0.00,9.09,55.75,0.51,1.00,3.41,374.98,1.12,0.00,86219.00
q122000,0.03,300.53,0.00,9.24,55.63,0.51,1.00,3.47,375.17,1.13,0.00,86908.00
q123000,0.02,306.04,0.00,9.25,55.90,0.52,1.00,3.52,380.76,1.14,0.00,87615.00
q124000,0.03,312.51,0.00,9.44,54.68,0.52,1.00,3.58,379.38,1.15,0.00,88337.00
q125000,0.03,321.21,0.00,9.63,55.43,0.53,1.00,3.64,378.15,1.16,0.00,89043.00
q126000,0.05,327.28,0.00,9.67,54.72,0.53,1.00,3.70,382.49,1.17,0.00,89771.00
q127000,0.03,332.61,0.00,9.86,55.50,0.55,1.00,3.76,380.93,1.18,0.00,90472.00
q128000,0.03,337.34,0.00,10.60,53.80,0.57,1.00,3.81,360.03,1.18,0.00,91197.00
