Circuit,Initial time,Schedule time,Transfer time,Simulation time,Power consumption,Energy consumption,Tableau partitions,Tableau memory,Tableau step speed,Circuit memory,Average of parallel gates,Clifford gates
q100000,0.05,168.60,0.00,6.65,57.88,0.38,1.00,2.33,350.56,0.94,0.00,73711.00
q101000,0.02,172.28,0.00,6.80,58.01,0.39,1.00,2.38,349.82,0.95,0.00,74455.00
q102000,0.02,175.54,0.00,6.89,58.16,0.40,1.00,2.42,351.69,0.96,0.00,75198.00
q103000,0.02,179.82,0.00,7.09,58.19,0.41,1.00,2.47,348.84,0.97,0.00,75909.00
q104000,0.02,185.34,0.00,7.20,57.49,0.41,1.00,2.52,349.81,0.98,0.00,76633.00
q105000,0.05,190.22,0.00,7.32,57.86,0.42,1.00,2.57,350.94,0.99,0.00,77379.00
q106000,0.02,193.19,0.00,7.44,57.31,0.43,1.00,2.62,352.16,1.00,0.00,78139.00
q107000,0.02,196.62,0.00,8.15,57.67,0.47,1.00,2.67,327.07,1.01,0.00,78882.00
q108000,0.02,200.80,0.00,8.28,57.39,0.47,1.00,2.72,328.24,1.02,0.00,79653.00
q109000,0.02,204.68,0.00,8.41,57.71,0.49,1.00,2.77,329.11,1.03,0.00,80405.00
q110000,0.02,209.02,0.00,7.91,57.40,0.45,1.00,2.82,356.31,1.04,0.00,81176.00
q111000,0.03,211.78,0.00,8.04,57.89,0.47,1.00,2.87,357.00,1.05,0.00,81918.00
q112000,0.02,213.30,0.00,8.17,57.78,0.47,1.00,2.92,357.62,1.06,0.00,82661.00
q113000,0.02,219.85,0.00,8.31,57.16,0.48,1.00,2.97,357.83,1.07,0.00,83406.00
q114000,0.02,219.59,0.00,8.43,57.62,0.49,1.00,3.03,359.44,1.08,0.00,84137.00
q115000,0.02,225.67,0.00,8.55,56.97,0.49,1.00,3.08,360.23,1.09,0.00,84841.00
q116000,0.02,232.04,0.00,9.10,57.16,0.52,1.00,3.13,344.59,1.09,0.00,85565.00
q117000,0.02,233.18,0.00,9.24,57.41,0.53,1.00,3.19,345.40,1.10,0.00,86318.00
q118000,0.03,239.03,0.00,9.29,57.02,0.53,1.00,3.24,348.97,1.11,0.00,87044.00
q119000,0.02,242.39,0.00,9.39,57.18,0.54,1.00,3.30,351.39,1.12,0.00,87771.00
q120000,0.02,249.52,0.00,9.67,57.03,0.55,1.00,3.35,346.78,1.13,0.00,88476.00
q121000,0.02,252.49,0.00,9.84,56.57,0.56,1.00,3.41,346.75,1.14,0.00,89195.00
q122000,0.02,258.54,0.00,9.92,55.50,0.55,1.00,3.47,349.48,1.15,0.00,89930.00
q123000,0.05,274.83,0.00,9.97,54.43,0.54,1.00,3.52,353.36,1.16,0.00,90665.00
q124000,0.02,267.30,0.00,10.21,55.07,0.56,1.00,3.58,350.73,1.17,0.00,91403.00
q125000,0.02,273.83,0.00,10.33,54.03,0.56,1.00,3.64,352.63,1.18,0.00,92147.00
q126000,0.03,277.66,0.00,10.54,53.65,0.57,1.00,3.70,350.76,1.19,0.00,92906.00
q127000,0.02,286.14,0.00,10.65,53.14,0.57,1.00,3.76,352.77,1.20,0.00,93619.00
q128000,0.02,290.34,0.00,11.47,53.84,0.62,1.00,3.81,332.47,1.21,0.00,94318.00
q129000,0.05,296.76,0.00,12.92,55.33,0.71,1.00,3.88,300.03,1.22,0.00,95037.00
q130000,0.02,299.07,0.00,11.78,53.03,0.62,1.00,3.94,334.41,1.23,0.00,95765.00
q131000,0.02,301.40,0.00,11.09,54.48,0.60,1.00,4.00,360.37,1.24,0.00,96490.00
q132000,0.02,305.77,0.00,11.42,53.72,0.61,1.00,4.06,355.38,1.25,0.00,97233.00
q133000,0.02,309.58,0.00,11.59,54.25,0.63,1.00,4.12,355.68,1.25,0.00,98002.00
q134000,0.02,316.14,0.00,11.80,53.03,0.63,1.00,4.18,354.45,1.26,0.00,98734.00
q135000,0.02,319.79,0.00,11.97,53.38,0.64,1.00,4.25,354.84,1.27,0.00,99483.00
q136000,0.02,327.69,0.00,12.38,53.64,0.66,1.00,4.31,347.93,1.28,0.00,100213.00
q137000,0.02,335.27,0.00,12.55,53.80,0.68,1.00,4.37,348.21,1.29,0.00,100955.00
q138000,0.02,336.46,0.00,12.71,53.91,0.69,1.00,4.44,349.18,1.30,0.00,101698.00
q139000,0.02,341.10,0.00,12.67,53.77,0.68,1.00,4.50,355.04,1.31,0.00,102465.00
q140000,0.02,347.88,0.00,12.90,53.80,0.69,1.00,4.57,353.95,1.32,0.00,103234.00
q141000,0.02,351.02,0.00,13.07,53.37,0.70,1.00,4.63,354.42,1.33,0.00,103941.00
q142000,0.02,366.68,0.00,13.50,54.40,0.73,1.00,4.70,347.74,1.34,0.00,104659.00
q143000,0.02,366.76,0.00,13.51,53.98,0.73,1.00,4.76,352.62,1.35,0.00,105420.00
q144000,0.02,372.93,0.00,13.87,53.60,0.74,1.00,4.83,348.03,1.36,0.00,106153.00
q145000,0.02,377.64,0.00,13.95,54.14,0.76,1.00,4.90,351.02,1.37,0.00,106909.00
q146000,0.05,383.48,0.00,14.11,54.12,0.76,1.00,4.97,351.96,1.38,0.00,107663.00
q147000,0.02,390.29,0.00,14.29,53.70,0.77,1.00,5.03,352.12,1.39,0.00,108391.00
q148000,0.02,393.42,0.00,14.50,53.86,0.78,1.00,5.10,351.76,1.40,0.00,109177.00
q149000,0.02,401.31,0.00,14.79,54.14,0.80,1.00,5.17,349.70,1.41,0.00,109895.00
q150000,0.02,406.10,0.00,15.99,53.81,0.86,1.00,5.24,327.78,1.42,0.00,110631.00
q151000,0.02,411.09,0.00,16.29,53.54,0.87,1.00,5.31,326.12,1.43,0.00,111373.00
q152000,0.02,416.35,0.00,15.27,53.84,0.82,1.00,5.38,352.21,1.44,0.00,112121.00
q153000,0.02,423.46,0.00,15.44,53.95,0.83,1.00,5.45,353.14,1.45,0.00,112846.00
