Circuit,Initial time,Schedule time,Transfer time,Simulation time,Power consumption,Energy consumption,Tableau partitions,Tableau memory,Tableau step speed,Circuit memory,Average of parallel gates,Clifford gates
q290000,0.03,2026.10,0.00,56.94,41.32,2.35,1.00,19.59,343.99,2.67,0.00,204499.00
q291000,0.06,1999.20,0.00,54.10,39.75,2.15,1.00,19.72,364.44,2.68,0.00,205211.00
q292000,0.05,2029.47,0.00,54.54,41.36,2.26,1.00,19.86,364.07,2.69,0.00,205916.00
q293000,0.02,2115.37,0.00,54.86,42.91,2.35,1.00,20.00,364.51,2.69,0.00,206617.00
q294000,0.03,2101.21,0.00,54.76,40.04,2.19,1.00,20.13,367.58,2.70,0.00,207333.00
q295000,0.07,2168.35,0.00,55.05,42.73,2.35,1.00,20.27,368.19,2.71,0.00,208040.00
q296000,0.05,2156.85,0.00,55.93,41.65,2.33,1.00,20.40,364.74,2.72,0.00,208738.00
q297000,0.05,2174.85,0.00,56.35,42.72,2.41,1.00,20.54,364.52,2.73,0.00,209423.00
q298000,0.02,2189.78,0.00,56.56,40.16,2.27,1.00,20.68,365.69,2.74,0.00,210127.00
q299000,0.08,2211.46,0.00,59.16,41.41,2.45,1.00,20.82,351.88,2.75,0.00,210817.00
q300000,0.05,2232.41,0.00,60.84,40.72,2.48,1.00,20.96,344.50,2.76,0.00,211527.00
