Circuit,Initial time,Schedule time,Transfer time,Simulation time,Power consumption,Energy consumption,Tableau partitions,Tableau memory,Tableau step speed,Circuit memory,Average of parallel gates,Clifford gates
q100000,0.03,211.12,0.00,6.54,32.26,0.21,1.00,2.33,356.51,0.92,0.00,70425.00
q101000,0.02,213.73,0.00,6.64,54.33,0.36,1.00,2.38,358.05,0.93,0.00,71125.00
q102000,0.03,218.16,0.00,6.72,54.02,0.36,1.00,2.42,360.54,0.94,0.00,71829.00
q103000,0.02,223.57,0.00,6.83,54.08,0.37,1.00,2.47,361.81,0.95,0.00,72517.00
q104000,0.03,227.99,0.00,6.98,53.48,0.37,1.00,2.52,360.66,0.96,0.00,73251.00
q105000,0.03,233.54,0.00,7.16,53.39,0.38,1.00,2.57,358.58,0.96,0.00,73946.00
q106000,0.03,238.67,0.00,7.25,53.44,0.39,1.00,2.62,361.02,0.97,0.00,74661.00
q107000,0.02,241.90,0.00,7.88,53.59,0.42,1.00,2.67,338.27,0.98,0.00,75383.00
q108000,0.02,243.94,0.00,8.06,53.49,0.43,1.00,2.72,337.19,0.99,0.00,76101.00
q109000,0.02,251.58,0.00,8.20,53.55,0.44,1.00,2.77,337.58,1.00,0.00,76814.00
q110000,0.02,252.98,0.00,7.72,53.61,0.41,1.00,2.82,364.97,1.01,0.00,77520.00
q111000,0.02,264.36,0.00,7.84,53.64,0.42,1.00,2.87,366.10,1.02,0.00,78266.00
q112000,0.07,268.01,0.00,7.89,53.59,0.42,1.00,2.92,370.33,1.03,0.00,78954.00
q113000,0.03,270.79,0.00,8.12,53.57,0.43,1.00,2.97,366.09,1.04,0.00,79660.00
q114000,0.02,276.28,0.00,8.27,51.47,0.43,1.00,3.03,366.35,1.05,0.00,80359.00
q115000,0.02,281.90,0.00,8.31,51.66,0.43,1.00,3.08,370.57,1.06,0.00,81067.00
q116000,0.02,287.18,0.00,8.54,52.66,0.45,1.00,3.13,367.17,1.07,0.00,81791.00
q117000,0.03,292.62,0.00,8.67,51.84,0.45,1.00,3.19,367.97,1.08,0.00,82497.00
q118000,0.04,297.56,0.00,8.81,50.88,0.45,1.00,3.24,368.23,1.08,0.00,83200.00
q119000,0.02,303.81,0.00,8.90,50.28,0.45,1.00,3.30,370.57,1.09,0.00,83889.00
q120000,0.02,308.53,0.00,9.12,50.64,0.46,1.00,3.35,367.83,1.10,0.00,84645.00
q121000,0.04,315.19,0.00,9.19,50.81,0.47,1.00,3.41,370.96,1.11,0.00,85351.00
q122000,0.03,320.85,0.00,9.39,50.47,0.47,1.00,3.47,369.49,1.12,0.00,86091.00
q123000,0.02,325.27,0.00,9.51,50.17,0.48,1.00,3.52,370.49,1.13,0.00,86824.00
q124000,0.03,331.12,0.00,9.69,50.21,0.49,1.00,3.58,369.57,1.14,0.00,87519.00
q125000,0.03,340.76,0.00,9.90,50.12,0.50,1.00,3.64,367.75,1.15,0.00,88236.00
q126000,0.02,346.80,0.00,10.02,50.20,0.50,1.00,3.70,368.89,1.16,0.00,88945.00
q127000,0.02,353.15,0.00,10.28,50.20,0.52,1.00,3.76,365.39,1.17,0.00,89660.00
q128000,0.07,358.20,0.00,11.23,50.45,0.57,1.00,3.81,339.66,1.18,0.00,90354.00
q129000,0.03,364.69,0.00,13.13,51.11,0.67,1.00,3.88,295.27,1.19,0.00,91055.00
q130000,0.03,369.99,0.00,11.56,50.77,0.59,1.00,3.94,340.55,1.20,0.00,91791.00
q131000,0.03,377.69,0.00,10.91,50.43,0.55,1.00,4.00,366.25,1.21,0.00,92480.00
q132000,0.02,384.28,0.00,11.09,50.41,0.56,1.00,4.06,366.09,1.21,0.00,93166.00
q133000,0.03,390.95,0.00,11.30,50.13,0.57,1.00,4.12,364.64,1.22,0.00,93874.00
q134000,0.02,395.94,0.00,11.34,50.48,0.57,1.00,4.18,368.66,1.23,0.00,94596.00
q135000,0.02,402.51,0.00,11.65,50.59,0.59,1.00,4.25,364.48,1.24,0.00,95316.00
q136000,0.05,409.35,0.00,11.81,50.31,0.59,1.00,4.31,364.58,1.25,0.00,96044.00
q137000,0.02,418.47,0.00,11.98,50.55,0.61,1.00,4.37,365.03,1.26,0.00,96711.00
q138000,0.03,425.35,0.00,12.19,50.34,0.61,1.00,4.44,363.91,1.27,0.00,97397.00
q139000,0.05,431.47,0.00,12.32,50.56,0.62,1.00,4.50,365.17,1.28,0.00,98111.00
q140000,0.02,438.73,0.00,12.55,50.71,0.64,1.00,4.57,363.81,1.29,0.00,98812.00
q141000,0.02,444.62,0.00,12.68,50.47,0.64,1.00,4.63,365.26,1.30,0.00,99549.00
q142000,0.03,449.07,0.00,13.03,50.52,0.66,1.00,4.70,360.49,1.31,0.00,100291.00
q143000,0.05,455.63,0.00,13.08,50.53,0.66,1.00,4.76,364.19,1.32,0.00,101009.00
q144000,0.03,462.96,0.00,13.33,50.67,0.68,1.00,4.83,362.19,1.32,0.00,101710.00
q145000,0.02,471.55,0.00,13.43,50.69,0.68,1.00,4.90,364.61,1.33,0.00,102418.00
q146000,0.05,478.42,0.00,13.68,50.83,0.70,1.00,4.97,363.01,1.34,0.00,103134.00
q147000,0.03,482.28,0.00,13.86,50.75,0.70,1.00,5.03,363.10,1.35,0.00,103842.00
q148000,0.03,489.65,0.00,14.09,50.90,0.72,1.00,5.10,362.11,1.36,0.00,104540.00
q149000,0.02,497.43,0.00,14.24,51.22,0.73,1.00,5.17,363.16,1.37,0.00,105247.00
q150000,0.02,505.27,0.00,15.72,50.92,0.80,1.00,5.24,333.26,1.38,0.00,105958.00
q151000,0.03,511.83,0.00,15.97,51.11,0.82,1.00,5.31,332.58,1.39,0.00,106659.00
q152000,0.02,517.20,0.00,14.83,51.00,0.76,1.00,5.38,362.82,1.40,0.00,107394.00
q153000,0.05,524.47,0.00,15.02,49.97,0.75,1.00,5.45,363.04,1.41,0.00,108096.00
q154000,0.02,532.19,0.00,15.31,51.07,0.78,1.00,5.53,360.95,1.42,0.00,108809.00
q155000,0.03,540.40,0.00,15.46,49.77,0.77,1.00,5.59,361.88,1.43,0.00,109515.00
q156000,0.03,541.26,0.00,15.57,51.01,0.79,1.00,5.67,364.02,1.44,0.00,110230.00
q157000,0.02,548.00,0.00,15.82,49.80,0.79,1.00,5.74,363.07,1.45,0.00,110921.00
q158000,0.03,558.06,0.00,15.96,49.70,0.79,1.00,5.81,364.26,1.45,0.00,111613.00
q159000,0.03,555.20,0.00,16.28,49.69,0.81,1.00,5.89,361.74,1.46,0.00,112322.00
q160000,0.03,585.34,0.00,16.28,49.58,0.81,1.00,5.96,366.18,1.47,0.00,113047.00
q161000,0.02,587.02,0.00,16.61,48.92,0.81,1.00,6.04,363.41,1.48,0.00,113756.00
q162000,0.03,595.19,0.00,16.81,48.32,0.81,1.00,6.11,363.67,1.49,0.00,114471.00
q163000,0.03,603.91,0.00,16.98,48.31,0.82,1.00,6.19,364.41,1.50,0.00,115167.00
q164000,0.03,612.10,0.00,17.15,48.28,0.83,1.00,6.26,365.28,1.51,0.00,115865.00
q165000,0.02,618.59,0.00,17.38,48.31,0.84,1.00,6.34,364.97,1.52,0.00,116580.00
q166000,0.02,627.46,0.00,17.66,48.41,0.85,1.00,6.42,363.27,1.53,0.00,117319.00
q167000,0.02,637.05,0.00,17.77,48.00,0.85,1.00,6.50,365.67,1.54,0.00,117993.00
q168000,0.02,645.52,0.00,18.11,48.95,0.89,1.00,6.57,362.88,1.55,0.00,118705.00
q169000,0.02,652.94,0.00,18.12,48.11,0.87,1.00,6.65,367.12,1.56,0.00,119417.00
q170000,0.02,662.61,0.00,18.52,48.02,0.89,1.00,6.73,363.46,1.56,0.00,120112.00
q171000,0.05,671.78,0.00,20.29,47.63,0.97,1.00,6.81,335.66,1.57,0.00,120814.00
q172000,0.03,684.86,0.00,22.07,48.30,1.07,1.00,6.89,312.20,1.58,0.00,121526.00
q173000,0.03,688.93,0.00,20.72,47.59,0.99,1.00,6.97,336.53,1.59,0.00,122236.00
q174000,0.06,698.48,0.00,19.33,47.37,0.92,1.00,7.05,364.73,1.60,0.00,122943.00
q175000,0.02,706.10,0.00,19.25,47.20,0.91,1.00,7.13,370.64,1.61,0.00,123664.00
q176000,0.02,706.31,0.00,19.62,47.09,0.92,1.00,7.21,367.50,1.62,0.00,124373.00
q177000,0.02,718.18,0.00,19.87,47.16,0.94,1.00,7.30,367.22,1.63,0.00,125071.00
q178000,0.02,725.25,0.00,20.07,47.61,0.96,1.00,7.38,367.68,1.64,0.00,125777.00
q179000,0.02,733.49,0.00,20.17,47.58,0.96,1.00,7.46,369.94,1.65,0.00,126491.00
q180000,0.02,742.05,0.00,20.34,47.48,0.97,1.00,7.55,371.11,1.66,0.00,127193.00
q181000,0.02,752.55,0.00,20.72,47.02,0.97,1.00,7.63,368.44,1.67,0.00,127887.00
q182000,0.05,762.11,0.00,20.90,47.52,0.99,1.00,7.71,369.09,1.68,0.00,128591.00
q183000,0.02,770.48,0.00,21.08,46.73,0.98,1.00,7.80,370.03,1.68,0.00,129290.00
q184000,0.02,780.54,0.00,21.09,47.99,1.01,1.00,7.88,373.77,1.69,0.00,129985.00
q185000,0.05,787.34,0.00,21.68,46.67,1.01,1.00,7.97,367.59,1.70,0.00,130691.00
q186000,0.03,799.44,0.00,21.74,46.29,1.01,1.00,8.06,370.77,1.71,0.00,131385.00
q187000,0.02,808.24,0.00,22.10,46.22,1.02,1.00,8.14,368.39,1.72,0.00,132094.00
q188000,0.03,814.42,0.00,22.15,46.39,1.03,1.00,8.23,371.63,1.73,0.00,132804.00
q189000,0.02,824.92,0.00,22.70,47.47,1.08,1.00,8.32,366.60,1.74,0.00,133489.00
q190000,0.03,832.05,0.00,22.81,46.35,1.06,1.00,8.41,368.61,1.75,0.00,134196.00
q191000,0.02,843.37,0.00,23.17,46.25,1.07,1.00,8.50,366.70,1.76,0.00,134912.00
q192000,0.02,853.01,0.00,25.81,46.22,1.19,1.00,8.58,332.57,1.77,0.00,135598.00
q193000,0.03,865.05,0.00,26.10,45.95,1.20,1.00,8.68,332.43,1.78,0.00,136293.00
q194000,0.03,875.83,0.00,26.35,45.97,1.21,1.00,8.77,332.71,1.78,0.00,137007.00
q195000,0.05,884.39,0.00,24.12,45.79,1.10,1.00,8.85,367.15,1.79,0.00,137723.00
q196000,0.03,897.17,0.00,24.39,45.56,1.11,1.00,8.95,366.85,1.80,0.00,138400.00
q197000,0.02,906.27,0.00,24.66,45.57,1.12,1.00,9.04,366.67,1.81,0.00,139117.00
q198000,0.05,913.05,0.00,25.01,45.44,1.14,1.00,9.13,365.04,1.82,0.00,139849.00
q199000,0.06,924.33,0.00,25.09,46.29,1.16,1.00,9.22,367.60,1.83,0.00,140519.00
q200000,0.02,933.77,0.00,25.55,45.10,1.15,1.00,9.31,364.50,1.84,0.00,141222.00
q201000,0.02,945.69,0.00,25.69,44.87,1.15,1.00,9.41,366.31,1.85,0.00,141935.00
q202000,0.05,953.46,0.00,26.03,45.49,1.18,1.00,9.51,365.17,1.86,0.00,142668.00
q203000,0.02,962.79,0.00,26.41,45.58,1.20,1.00,9.60,363.26,1.87,0.00,143393.00
q204000,0.03,981.00,0.00,26.78,44.72,1.20,1.00,9.69,361.96,1.88,0.00,144086.00
q205000,0.06,972.58,0.00,27.01,45.17,1.22,1.00,9.79,362.44,1.89,0.00,144782.00
q206000,0.02,998.54,0.00,27.13,46.87,1.27,1.00,9.88,364.21,1.90,0.00,145460.00
