Circuit,Initial time,Schedule time,Transfer time,Simulation time,Power consumption,Energy consumption,Tableau partitions,Tableau memory,Tableau step speed,Circuit memory,Average of parallel gates,Clifford gates
q100000,0.02,209.18,0.00,14.33,43.12,0.61,1.00,2384.20,166515.77,0.92,70425.00,70425.00
q101000,0.02,212.84,0.00,14.51,55.97,0.81,1.00,2432.12,167622.66,0.93,71125.00,71125.00
q102000,0.08,214.23,0.00,14.78,55.82,0.82,1.00,2480.52,167864.56,0.94,71829.00,71829.00
q103000,0.02,218.01,0.00,14.96,55.49,0.83,1.00,2529.39,169111.55,0.95,72517.00,72517.00
q104000,0.02,227.22,0.00,15.14,55.86,0.85,1.00,2578.75,170333.77,0.96,73251.00,73251.00
q105000,0.02,227.27,0.00,15.30,56.03,0.86,1.00,2628.58,171785.78,0.96,73946.00,73946.00
q106000,0.02,238.25,0.00,15.74,55.91,0.88,1.00,2678.88,170228.70,0.97,74661.00,74661.00
q107000,0.05,236.08,0.00,16.31,55.60,0.91,1.00,2729.67,167397.50,0.98,75383.00,75383.00
q108000,0.05,245.53,0.00,16.36,56.02,0.92,1.00,2780.93,170004.17,0.99,76101.00,76101.00
q109000,0.03,249.13,0.00,16.75,55.83,0.94,1.00,2832.66,169063.82,1.00,76814.00,76814.00
q110000,0.02,260.76,0.00,17.22,55.59,0.96,1.00,2884.88,167491.81,1.01,77520.00,77520.00
q111000,0.03,255.65,0.00,17.64,55.23,0.97,1.00,2937.57,166501.03,1.02,78266.00,78266.00
q112000,0.03,266.68,0.00,17.71,54.81,0.97,1.00,2990.74,168849.30,1.03,78954.00,78954.00
q113000,0.02,268.50,0.00,18.23,53.26,0.97,1.00,3044.38,166957.20,1.04,79660.00,79660.00
q114000,0.03,269.85,0.00,18.37,53.79,0.99,1.00,3098.50,168699.74,1.05,80359.00,80359.00
q115000,0.02,275.12,0.00,18.60,54.82,1.02,1.00,3153.10,169526.20,1.06,81067.00,81067.00
q116000,0.03,284.64,0.00,19.03,52.35,1.00,1.00,3208.17,168545.23,1.07,81791.00,81791.00
q117000,0.03,295.36,0.00,19.63,53.37,1.05,1.00,3263.73,166236.76,1.08,82497.00,82497.00
q118000,0.02,295.64,0.00,19.87,52.20,1.04,1.00,3319.75,167072.66,1.08,83200.00,83200.00
q119000,0.05,305.31,0.00,19.94,52.19,1.04,1.00,3376.26,169342.23,1.09,83889.00,83889.00
q120000,0.02,307.54,0.00,20.23,52.24,1.06,1.00,3433.24,169702.27,1.10,84645.00,84645.00
q121000,0.02,316.60,0.00,20.48,52.51,1.08,1.00,3490.70,170432.12,1.11,85351.00,85351.00
q122000,0.02,321.41,0.00,20.96,53.02,1.11,1.00,3548.64,169317.68,1.12,86091.00,86091.00
q123000,0.03,327.02,0.00,21.22,52.39,1.11,1.00,3607.05,170005.49,1.13,86824.00,86824.00
q124000,0.02,332.38,0.00,21.52,52.37,1.13,1.00,3665.94,170323.03,1.14,87519.00,87519.00
q125000,0.03,338.61,0.00,21.43,52.33,1.12,1.00,3725.30,173795.90,1.15,88236.00,88236.00
q126000,0.03,347.85,0.00,21.95,52.59,1.15,1.00,3785.15,172448.34,1.16,88945.00,88945.00
q127000,0.02,343.41,0.00,21.85,53.44,1.17,1.00,3845.47,176010.24,1.17,89660.00,89660.00
q128000,0.02,347.74,0.00,19.63,52.64,1.03,1.00,3906.26,198979.50,1.18,90354.00,90354.00
q129000,0.03,365.37,0.00,22.15,53.26,1.18,1.00,3967.54,179141.87,1.19,91055.00,91055.00
q130000,0.02,369.40,0.00,22.91,52.77,1.21,1.00,4029.29,175849.46,1.20,91791.00,91791.00
q131000,0.05,373.09,0.00,23.37,53.81,1.26,1.00,4091.52,175041.92,1.21,92480.00,92480.00
q132000,0.02,381.77,0.00,24.03,53.13,1.28,1.00,4154.22,172847.95,1.21,93166.00,93166.00
q133000,0.02,384.44,0.00,24.38,53.63,1.31,1.00,4217.40,172975.59,1.22,93874.00,93874.00
q134000,0.02,397.82,0.00,25.08,55.28,1.39,1.00,4281.06,170683.29,1.23,94596.00,94596.00
q135000,0.03,420.34,0.00,25.34,53.16,1.35,1.00,4345.19,171493.49,1.24,95316.00,95316.00
q136000,0.02,391.66,0.00,25.61,53.36,1.37,1.00,4409.81,172217.86,1.25,96044.00,96044.00
q137000,0.03,410.67,0.00,25.95,53.38,1.39,1.00,4474.90,172442.98,1.26,96711.00,96711.00
q138000,0.02,412.66,0.00,26.67,53.41,1.42,1.00,4540.46,170271.56,1.27,97397.00,97397.00
q139000,0.03,417.33,0.00,27.34,53.93,1.47,1.00,4606.50,168504.87,1.28,98111.00,98111.00
q140000,0.02,432.38,0.00,27.23,53.24,1.45,1.00,4673.02,171629.06,1.29,98812.00,98812.00
q141000,0.05,425.40,0.00,27.73,54.08,1.50,1.00,4740.02,170928.64,1.30,99549.00,99549.00
q142000,0.02,442.28,0.00,28.24,53.28,1.50,1.00,4807.49,170258.03,1.31,100291.00,100291.00
q143000,0.02,439.44,0.00,28.72,53.63,1.54,1.00,4875.44,169751.70,1.32,101009.00,101009.00
q144000,0.02,450.16,0.00,28.69,53.96,1.55,1.00,4943.86,172306.14,1.32,101710.00,101710.00
q145000,0.02,458.41,0.00,29.58,53.95,1.60,1.00,5012.77,169444.72,1.33,102418.00,102418.00
