Circuit,Initial time,Schedule time,Transfer time,Simulation time,Power consumption,Energy consumption,Tableau partitions,Tableau memory,Tableau step speed,Circuit memory,Average of parallel gates,Clifford gates
q100000,0.02,210.79,0.00,6.48,30.49,0.20,1.00,2.33,359.57,0.92,0.00,70425.00
q101000,0.02,215.92,0.00,6.61,53.54,0.35,1.00,2.38,359.58,0.93,0.00,71125.00
q102000,0.03,213.03,0.00,6.74,53.48,0.36,1.00,2.42,359.79,0.94,0.00,71829.00
q103000,0.05,217.89,0.00,6.84,53.58,0.37,1.00,2.47,361.39,0.95,0.00,72517.00
q104000,0.02,223.60,0.00,6.94,53.89,0.37,1.00,2.52,362.82,0.96,0.00,73251.00
q105000,0.02,231.89,0.00,7.06,53.65,0.38,1.00,2.57,363.53,0.96,0.00,73946.00
q106000,0.02,231.75,0.00,7.17,53.50,0.38,1.00,2.62,365.30,0.97,0.00,74661.00
q107000,0.05,235.62,0.00,7.89,53.58,0.42,1.00,2.67,337.91,0.98,0.00,75383.00
q108000,0.02,242.43,0.00,8.07,53.60,0.43,1.00,2.72,336.70,0.99,0.00,76101.00
q109000,0.02,244.64,0.00,8.19,53.68,0.44,1.00,2.77,337.97,1.00,0.00,76814.00
q110000,0.02,250.12,0.00,7.69,53.63,0.41,1.00,2.82,366.58,1.01,0.00,77520.00
q111000,0.02,255.80,0.00,7.81,53.52,0.42,1.00,2.87,367.53,1.02,0.00,78266.00
q112000,0.02,259.67,0.00,8.03,53.31,0.43,1.00,2.92,363.63,1.03,0.00,78954.00
q113000,0.02,259.49,0.00,8.10,53.43,0.43,1.00,2.97,367.22,1.04,0.00,79660.00
q114000,0.02,264.94,0.00,8.27,53.55,0.44,1.00,3.03,366.00,1.05,0.00,80359.00
q115000,0.02,280.67,0.00,8.37,51.67,0.43,1.00,3.08,368.05,1.06,0.00,81067.00
q116000,0.05,274.64,0.00,8.44,51.89,0.44,1.00,3.13,371.52,1.07,0.00,81791.00
q117000,0.02,279.85,0.00,8.62,51.70,0.45,1.00,3.19,369.95,1.08,0.00,82497.00
q118000,0.02,292.33,0.00,8.81,51.47,0.45,1.00,3.24,368.27,1.08,0.00,83200.00
q119000,0.02,296.06,0.00,8.88,50.47,0.45,1.00,3.30,371.47,1.09,0.00,83889.00
q120000,0.02,302.58,0.00,9.03,49.95,0.45,1.00,3.35,371.36,1.10,0.00,84645.00
q121000,0.02,311.53,0.00,9.14,49.74,0.45,1.00,3.41,373.23,1.11,0.00,85351.00
q122000,0.02,319.56,0.00,9.33,49.99,0.47,1.00,3.47,371.73,1.12,0.00,86091.00
q123000,0.03,320.74,0.00,9.36,50.43,0.47,1.00,3.52,376.31,1.13,0.00,86824.00
q124000,0.02,317.01,0.00,9.56,50.05,0.48,1.00,3.58,374.83,1.14,0.00,87519.00
q125000,0.02,329.95,0.00,9.74,50.33,0.49,1.00,3.64,373.88,1.15,0.00,88236.00
q126000,0.02,336.60,0.00,10.00,49.92,0.50,1.00,3.70,369.61,1.16,0.00,88945.00
q127000,0.02,339.03,0.00,10.20,50.04,0.51,1.00,3.76,368.40,1.17,0.00,89660.00
q128000,0.02,347.59,0.00,11.22,50.12,0.56,1.00,3.81,339.96,1.18,0.00,90354.00
q129000,0.02,345.73,0.00,13.16,50.15,0.66,1.00,3.88,294.47,1.19,0.00,91055.00
q130000,0.02,352.95,0.00,11.60,50.69,0.59,1.00,3.94,339.35,1.20,0.00,91791.00
q131000,0.02,372.09,0.00,10.80,50.61,0.55,1.00,4.00,370.04,1.21,0.00,92480.00
q132000,0.06,363.04,0.00,11.02,49.84,0.55,1.00,4.06,368.44,1.21,0.00,93166.00
q133000,0.02,369.96,0.00,11.18,50.16,0.56,1.00,4.12,368.70,1.22,0.00,93874.00
q134000,0.02,386.49,0.00,11.57,50.25,0.58,1.00,4.18,361.34,1.23,0.00,94596.00
q135000,0.04,382.60,0.00,11.76,50.17,0.59,1.00,4.25,361.03,1.24,0.00,95316.00
q136000,0.02,393.01,0.00,11.70,50.37,0.59,1.00,4.31,368.14,1.25,0.00,96044.00
q137000,0.02,393.11,0.00,11.93,50.46,0.60,1.00,4.37,366.43,1.26,0.00,96711.00
q138000,0.02,412.93,0.00,12.08,50.17,0.61,1.00,4.44,367.24,1.27,0.00,97397.00
q139000,0.05,418.42,0.00,12.38,50.41,0.62,1.00,4.50,363.43,1.28,0.00,98111.00
q140000,0.03,412.22,0.00,12.57,50.62,0.64,1.00,4.57,363.26,1.29,0.00,98812.00
q141000,0.02,421.18,0.00,12.72,50.63,0.64,1.00,4.63,364.32,1.30,0.00,99549.00
q142000,0.05,431.30,0.00,12.88,50.62,0.65,1.00,4.70,364.63,1.31,0.00,100291.00
q143000,0.07,433.82,0.00,13.08,50.22,0.66,1.00,4.76,364.24,1.32,0.00,101009.00
q144000,0.02,449.03,0.00,13.26,50.78,0.67,1.00,4.83,364.16,1.32,0.00,101710.00
q145000,0.02,450.27,0.00,13.50,50.27,0.68,1.00,4.90,362.76,1.33,0.00,102418.00
q146000,0.05,459.29,0.00,13.64,50.60,0.69,1.00,4.97,364.15,1.34,0.00,103134.00
q147000,0.02,468.75,0.00,13.81,50.64,0.70,1.00,5.03,364.47,1.35,0.00,103842.00
q148000,0.02,471.84,0.00,13.99,51.06,0.71,1.00,5.10,364.79,1.36,0.00,104540.00
q149000,0.02,488.33,0.00,14.19,50.73,0.72,1.00,5.17,364.60,1.37,0.00,105247.00
q150000,0.02,482.82,0.00,15.78,50.59,0.80,1.00,5.24,332.07,1.38,0.00,105958.00
q151000,0.02,491.93,0.00,15.99,50.64,0.81,1.00,5.31,332.12,1.39,0.00,106659.00
q152000,0.02,500.54,0.00,14.80,50.74,0.75,1.00,5.38,363.55,1.40,0.00,107394.00
q153000,0.02,499.86,0.00,14.99,50.66,0.76,1.00,5.45,363.62,1.41,0.00,108096.00
q154000,0.02,515.39,0.00,15.21,50.78,0.77,1.00,5.53,363.36,1.42,0.00,108809.00
q155000,0.02,520.68,0.00,15.51,50.86,0.79,1.00,5.59,360.70,1.43,0.00,109515.00
q156000,0.02,539.65,0.00,15.73,50.76,0.80,1.00,5.67,360.42,1.44,0.00,110230.00
q157000,0.05,524.34,0.00,15.91,50.93,0.81,1.00,5.74,361.09,1.45,0.00,110921.00
q158000,0.02,545.94,0.00,15.87,49.94,0.79,1.00,5.81,366.27,1.45,0.00,111613.00
q159000,0.02,553.02,0.00,16.08,49.90,0.80,1.00,5.89,366.31,1.46,0.00,112322.00
q160000,0.05,561.04,0.00,16.50,50.01,0.82,1.00,5.96,361.18,1.47,0.00,113047.00
q161000,0.02,572.64,0.00,16.66,50.12,0.83,1.00,6.04,362.40,1.48,0.00,113756.00
q162000,0.02,572.81,0.00,16.84,49.84,0.84,1.00,6.11,363.12,1.49,0.00,114471.00
q163000,0.02,570.30,0.00,16.89,49.92,0.84,1.00,6.19,366.28,1.50,0.00,115167.00
q164000,0.02,592.01,0.00,17.08,48.72,0.83,1.00,6.26,366.72,1.51,0.00,115865.00
q165000,0.02,611.52,0.00,17.26,48.02,0.83,1.00,6.34,367.44,1.52,0.00,116580.00
q166000,0.03,592.35,0.00,17.46,49.59,0.87,1.00,6.42,367.62,1.53,0.00,117319.00
q167000,0.02,615.15,0.00,17.63,48.54,0.86,1.00,6.50,368.57,1.54,0.00,117993.00
q168000,0.02,624.08,0.00,17.91,48.63,0.87,1.00,6.57,366.84,1.55,0.00,118705.00
q169000,0.05,632.44,0.00,18.06,48.02,0.87,1.00,6.65,368.31,1.56,0.00,119417.00
q170000,0.02,634.10,0.00,18.39,48.36,0.89,1.00,6.73,366.11,1.56,0.00,120112.00
q171000,0.02,646.77,0.00,20.32,48.45,0.98,1.00,6.81,335.13,1.57,0.00,120814.00
q172000,0.05,657.87,0.00,22.12,48.36,1.07,1.00,6.89,311.53,1.58,0.00,121526.00
q173000,0.02,667.69,0.00,20.69,48.06,0.99,1.00,6.97,337.04,1.59,0.00,122236.00
q174000,0.02,662.75,0.00,19.14,48.04,0.92,1.00,7.05,368.33,1.60,0.00,122943.00
q175000,0.05,682.60,0.00,19.22,47.75,0.92,1.00,7.13,371.12,1.61,0.00,123664.00
q176000,0.02,704.40,0.00,19.78,47.83,0.95,1.00,7.21,364.59,1.62,0.00,124373.00
q177000,0.04,695.51,0.00,20.03,47.59,0.95,1.00,7.30,364.30,1.63,0.00,125071.00
q178000,0.02,704.70,0.00,20.20,47.23,0.95,1.00,7.38,365.36,1.64,0.00,125777.00
q179000,0.02,716.33,0.00,20.09,47.13,0.95,1.00,7.46,371.39,1.65,0.00,126491.00
q180000,0.02,721.23,0.00,20.21,47.42,0.96,1.00,7.55,373.38,1.66,0.00,127193.00
q181000,0.05,736.98,0.00,20.56,47.57,0.98,1.00,7.63,371.29,1.67,0.00,127887.00
q182000,0.02,738.41,0.00,20.93,47.40,0.99,1.00,7.71,368.59,1.68,0.00,128591.00
q183000,0.05,753.80,0.00,21.17,46.71,0.99,1.00,7.80,368.52,1.68,0.00,129290.00
q184000,0.02,758.64,0.00,21.22,46.52,0.99,1.00,7.88,371.42,1.69,0.00,129985.00
q185000,0.02,786.28,0.00,21.51,47.15,1.01,1.00,7.97,370.59,1.70,0.00,130691.00
q186000,0.02,761.76,0.00,21.67,47.91,1.04,1.00,8.06,371.89,1.71,0.00,131385.00
q187000,0.02,802.55,0.00,21.99,46.84,1.03,1.00,8.14,370.21,1.72,0.00,132094.00
q188000,0.02,814.08,0.00,22.29,47.40,1.06,1.00,8.23,369.37,1.73,0.00,132804.00
q189000,0.02,821.99,0.00,22.55,45.81,1.03,1.00,8.32,369.06,1.74,0.00,133489.00
q190000,0.02,797.44,0.00,22.74,46.39,1.06,1.00,8.41,369.62,1.75,0.00,134196.00
q191000,0.06,807.88,0.00,22.96,46.55,1.07,1.00,8.50,370.17,1.76,0.00,134912.00
q192000,0.03,836.53,0.00,25.83,45.80,1.18,1.00,8.58,332.34,1.77,0.00,135598.00
q193000,0.03,850.47,0.00,26.10,45.99,1.20,1.00,8.68,332.40,1.78,0.00,136293.00
q194000,0.05,851.79,0.00,26.40,46.03,1.22,1.00,8.77,332.06,1.78,0.00,137007.00
q195000,0.02,861.20,0.00,24.04,46.06,1.11,1.00,8.85,368.25,1.79,0.00,137723.00
q196000,0.05,872.27,0.00,24.28,45.84,1.11,1.00,8.95,368.52,1.80,0.00,138400.00
q197000,0.02,891.45,0.00,24.59,45.39,1.12,1.00,9.04,367.73,1.81,0.00,139117.00
q198000,0.02,871.05,0.00,25.07,46.02,1.15,1.00,9.13,364.11,1.82,0.00,139849.00
q199000,0.02,899.60,0.00,25.42,45.28,1.15,1.00,9.22,362.84,1.83,0.00,140519.00
q200000,0.02,912.60,0.00,25.35,45.38,1.15,1.00,9.31,367.35,1.84,0.00,141222.00
q201000,0.02,910.21,0.00,25.65,45.54,1.17,1.00,9.41,366.80,1.85,0.00,141935.00
q202000,0.02,927.36,0.00,25.87,44.86,1.16,1.00,9.51,367.43,1.86,0.00,142668.00
q203000,0.05,949.70,0.00,26.50,44.91,1.19,1.00,9.60,362.13,1.87,0.00,143393.00
q204000,0.02,929.15,0.00,26.76,44.96,1.20,1.00,9.69,362.22,1.88,0.00,144086.00
q205000,0.02,979.15,0.00,27.05,44.37,1.20,1.00,9.79,361.91,1.89,0.00,144782.00
q206000,0.05,950.56,0.00,26.95,44.89,1.21,1.00,9.88,366.61,1.90,0.00,145460.00
q207000,0.02,981.07,0.00,27.18,44.38,1.21,1.00,9.98,367.16,1.91,0.00,146162.00
q208000,0.05,996.19,0.00,27.60,44.51,1.23,1.00,10.07,364.94,1.91,0.00,146865.00
q209000,0.02,976.41,0.00,27.98,45.68,1.28,1.00,10.17,363.56,1.92,0.00,147589.00
q210000,0.05,1014.59,0.00,28.14,42.14,1.19,1.00,10.27,364.99,1.93,0.00,148323.00
q211000,0.05,1020.68,0.00,28.46,44.14,1.26,1.00,10.37,364.24,1.94,0.00,149045.00
q212000,0.05,1036.37,0.00,28.59,44.02,1.26,1.00,10.47,366.11,1.95,0.00,149735.00
q213000,0.02,1042.99,0.00,29.16,43.69,1.27,1.00,10.57,362.41,1.96,0.00,150406.00
q214000,0.02,1078.63,0.00,32.42,42.40,1.38,1.00,10.66,328.90,1.97,0.00,151116.00
q215000,0.02,1070.87,0.00,36.92,41.77,1.54,1.00,10.77,291.58,1.98,0.00,151794.00
q216000,0.02,1053.79,0.00,29.74,41.92,1.25,1.00,10.86,365.27,1.99,0.00,152506.00
q217000,0.05,1068.21,0.00,30.21,42.49,1.28,1.00,10.97,362.97,2.00,0.00,153207.00
q218000,0.02,1102.04,0.00,30.32,39.98,1.21,1.00,11.07,365.05,2.01,0.00,153925.00
q219000,0.05,1087.50,0.00,31.13,41.96,1.31,1.00,11.17,358.75,2.02,0.00,154631.00
q220000,0.02,1125.86,0.00,31.41,41.41,1.30,1.00,11.27,358.90,2.02,0.00,155350.00
q221000,0.06,1133.53,0.00,31.63,39.88,1.26,1.00,11.38,359.71,2.03,0.00,156038.00
q222000,0.02,1137.57,0.00,31.45,41.09,1.29,1.00,11.48,364.97,2.04,0.00,156756.00
q223000,0.02,1153.49,0.00,31.66,41.74,1.32,1.00,11.58,365.79,2.05,0.00,157482.00
q224000,0.02,1157.30,0.00,32.44,40.71,1.32,1.00,11.68,360.11,2.06,0.00,158212.00
q225000,0.02,1198.28,0.00,32.70,40.12,1.31,1.00,11.79,360.55,2.07,0.00,158903.00
q226000,0.02,1184.23,0.00,33.03,40.86,1.35,1.00,11.90,360.22,2.08,0.00,159599.00
q227000,0.02,1171.26,0.00,32.78,39.93,1.31,1.00,12.00,366.05,2.09,0.00,160308.00
q228000,0.02,1210.65,0.00,33.06,40.16,1.33,1.00,12.11,366.23,2.10,0.00,160999.00
q229000,0.05,1216.63,0.00,33.36,40.77,1.36,1.00,12.22,366.21,2.11,0.00,161705.00
q230000,0.02,1228.24,0.00,33.86,40.44,1.37,1.00,12.32,363.79,2.12,0.00,162400.00
q231000,0.02,1218.62,0.00,34.25,41.74,1.43,1.00,12.43,362.85,2.12,0.00,163078.00
q232000,0.02,1258.14,0.00,34.34,41.28,1.42,1.00,12.53,364.90,2.13,0.00,163779.00
q233000,0.05,1263.51,0.00,34.70,39.89,1.38,1.00,12.64,364.35,2.14,0.00,164476.00
q234000,0.02,1249.86,0.00,34.81,39.89,1.39,1.00,12.75,366.38,2.15,0.00,165199.00
q235000,0.05,1318.13,0.00,38.84,41.31,1.60,1.00,12.86,331.08,2.16,0.00,165914.00
q236000,0.02,1272.05,0.00,39.25,40.27,1.58,1.00,12.97,330.44,2.17,0.00,166654.00
q237000,0.05,1335.03,0.00,39.50,39.87,1.57,1.00,13.08,331.26,2.18,0.00,167361.00
q238000,0.02,1310.31,0.00,36.06,42.00,1.51,1.00,13.19,365.82,2.19,0.00,168069.00
q239000,0.05,1329.03,0.00,36.34,41.45,1.51,1.00,13.30,366.09,2.20,0.00,168763.00
q240000,0.02,1358.53,0.00,37.11,40.96,1.52,1.00,13.41,361.44,2.21,0.00,169480.00
q241000,0.05,1355.62,0.00,37.41,40.43,1.51,1.00,13.53,361.55,2.22,0.00,170176.00
q242000,0.02,1372.45,0.00,37.78,39.93,1.51,1.00,13.64,361.03,2.23,0.00,170843.00
q243000,0.03,1436.51,0.00,37.46,40.17,1.50,1.00,13.75,367.07,2.24,0.00,171542.00
q244000,0.05,1404.32,0.00,37.78,40.53,1.53,1.00,13.87,367.03,2.25,0.00,172239.00
q245000,0.02,1407.26,0.00,38.09,42.94,1.64,1.00,13.98,367.13,2.25,0.00,172918.00
q246000,0.02,1454.01,0.00,38.81,39.89,1.55,1.00,14.09,363.06,2.26,0.00,173625.00
q247000,0.02,1400.89,0.00,39.21,39.94,1.57,1.00,14.21,362.39,2.27,0.00,174335.00
q248000,0.06,1456.95,0.00,39.09,39.82,1.56,1.00,14.32,366.37,2.28,0.00,175063.00
q249000,0.02,1468.26,0.00,39.43,40.19,1.58,1.00,14.44,366.20,2.29,0.00,175737.00
q250000,0.03,1446.52,0.00,39.69,39.75,1.58,1.00,14.56,366.76,2.30,0.00,176445.00
q251000,0.05,1451.09,0.00,40.17,41.77,1.68,1.00,14.67,365.15,2.31,0.00,177148.00
